AREA,DATE_SALE,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,SALES_PRICE,PARK_FACIL,DATE_BUILD,REG_FEE,COMMIS,SALE_COND
Anna Nagar,14-05-2010,1640,1,1,4,17701600,No,15-05-2005,495645,194718,Adj Land
Adyar,20-06-2007,622,1,1,2,6572900,No,25-06-1987,216906,72302,Normal Sale
KK Nagar,13-03-2010,2413,4,2,6,13122040,No,15-03-2001,419905,170587,Ab Normal
T Nagar,28-02-2009,1649,1,1,4,18939100,No,06-03-1984,681808,113635,Adj Land
T Nagar,20-12-2014,1942,2,1,5,12330740,No,29-12-1977,320599,61654,Family
Chrompet,19-09-2013,885,1,1,3,7194600,No,27-09-1981,237422,107919,Family
Adyar,17-10-2007,1236,2,2,4,12035355,No,26-10-1970,481414,24071,Family
Karapakkam,29-06-2011,926,1,1,3,6877000,No,04-07-1991,288834,68770,Family
KK Nagar,30-04-2009,1686,2,1,4,10346400,No,06-05-1985,382817,196582,Ab Normal
Karapakkam,16-12-2009,1344,2,2,4,10809500,No,29-12-1959,453999,259428,Adj Land
KK Nagar,02-04-2012,1437,2,1,4,10200600,No,08-04-1989,489629,102006,Family
Adyar,26-10-2008,1081,1,1,3,6190150,No,03-11-1978,241416,6190,Family
KK Nagar,19-05-2009,1986,3,2,5,11350400,No,27-05-1979,476717,227008,Normal Sale
Karapakkam,08-09-2010,607,1,1,2,5856625,No,19-09-1964,175699,117133,Normal Sale
KK Nagar,28-02-2010,1488,2,1,4,8441900,No,07-03-1983,405211,202606,Partial
Velachery,27-01-2006,1645,2,1,4,7579320,No,03-02-1980,250118,75793,Partial
Adyar,04-11-2010,721,1,1,2,7605550,No,06-11-2000,273800,60844,Partial
KK Nagar,17-04-2011,1593,2,1,4,8946800,No,21-04-1994,402606,223670,Partial
Chrompet,06-12-2011,1195,1,1,3,9821600,No,10-12-1992,265183,29465,Adj Land
Velachery,03-04-2009,1824,3,2,5,8549060,No,11-04-1976,273570,76942,Normal Sale
Adyar,24-09-2010,656,1,1,2,8757635,No,26-09-2001,280244,113849,Ab Normal
Chrompet,28-05-2007,727,1,1,2,8415990,No,01-06-1991,218816,100992,Ab Normal
Anna Nagar,27-06-2007,1698,1,1,4,12412050,No,07-07-1967,359949,198593,Family
Anna Nagar,06-09-2007,1506,1,1,4,10449910,No,14-09-1974,417996,177648,Family
Chrompet,01-11-2014,1020,1,1,3,7948600,No,07-11-1990,206664,31794,Family
Chrompet,21-10-2008,889,1,1,3,9098680,No,27-10-1987,300256,136480,Ab Normal
T Nagar,04-03-2011,1682,1,1,4,18662350,No,12-03-1976,690507,111974,Ab Normal
Chrompet,01-05-2013,869,1,1,3,8172630,No,06-05-1995,220661,138935,Family
Karapakkam,29-03-2012,1445,2,2,4,5856500,No,04-04-1988,216691,87848,Family
Karapakkam,05-09-2010,857,1,1,2,4928250,No,09-09-1993,236556,59139,Normal Sale
KK Nagar,10-07-2011,1778,3,2,5,10998320,No,12-07-2003,340948,153976,Family
Karapakkam,15-06-2011,851,1,1,2,3936375,No,25-06-1970,181073,39364,Adj Land
Karapakkam,01-06-2010,613,1,1,2,5144500,No,08-06-1980,195491,66879,Family
Adyar,02-09-2007,738,1,1,2,8312670,No,06-09-1989,324194,8313,Partial
Karapakkam,03-01-2011,1489,2,2,4,8007250,No,10-01-1982,384348,200181,Adj Land
Chrompet,12-10-2011,1252,2,1,4,9482200,No,15-10-1999,265502,47411,Family
Karapakkam,24-04-2011,1077,1,1,3,9846750,No,02-05-1978,305249,246169,Ab Normal
KK Nagar,11-04-2008,1524,2,1,4,8675820,No,18-04-1981,303654,208220,Normal Sale
Velachery,29-03-2008,1780,2,1,4,8671050,No,12-04-1953,329500,130066,Ab Normal
Chrompet,18-10-2008,946,1,1,3,11165550,No,23-10-1991,368463,111656,Adj Land
KK Nagar,25-11-2010,2344,4,2,6,18849880,No,01-12-1986,622046,471247,Ab Normal
Anna Nagar,02-08-2009,1843,2,1,5,12264750,No,06-08-1994,318884,147177,Adj Land
KK Nagar,13-04-2011,1499,2,1,4,8876320,No,14-04-2005,372805,186403,Family
Velachery,11-12-2009,1846,3,2,5,10815830,No,21-12-1970,378554,129790,Ab Normal
Karapakkam,10-04-2011,662,1,1,2,4356500,No,19-04-1973,143765,65348,Partial
Chrompet,06-01-2010,1005,1,1,3,12257100,No,13-01-1984,355456,183857,Family
Karapakkam,27-09-2010,839,1,1,2,4100500,No,02-10-1990,192724,49206,Partial
Anna Nagar,02-07-2008,1698,1,1,4,11527430,No,11-07-1974,403460,80692,Partial
Karapakkam,25-10-2009,1004,1,1,3,4721500,No,01-11-1981,193582,75544,Adj Land
Anna Nagar,16-12-2009,1694,1,1,4,12575010,No,23-12-1982,377250,213775,Normal Sale
Karapakkam,21-02-2010,588,1,1,2,5705500,No,27-02-1986,228220,57055,Partial
Velachery,01-09-2007,1835,3,2,5,10722580,No,08-09-1978,418181,182284,Normal Sale
Velachery,16-03-2005,1864,3,2,5,15100560,No,22-03-1982,528520,181207,Partial
Karapakkam,25-03-2010,624,1,1,2,4396250,No,02-04-1979,202228,92321,Family
Chrompet,08-05-2008,980,1,1,3,11900750,No,13-05-1991,380824,130908,Normal Sale
Karapakkam,23-01-2010,808,1,1,2,4752250,No,01-02-1975,161577,90293,Adj Land
Chrompet,14-01-2011,1027,1,1,3,7441350,No,19-01-1990,215799,44648,Normal Sale
Karapakkam,14-02-2010,696,1,1,2,6441250,No,17-02-1999,212561,77295,Normal Sale
Velachery,12-04-2011,1878,3,2,5,14328720,No,13-04-2005,573149,257917,Family
KK Nagar,03-03-2012,1626,2,1,4,9680280,No,09-03-1988,348490,135524,Ab Normal
KK Nagar,27-09-2008,1730,2,1,4,14739360,No,02-10-1990,589574,235830,Normal Sale
Chrompet,03-03-2007,996,1,1,3,8939620,No,08-03-1985,295007,151974,Family
Chrompet,29-04-2013,906,1,1,3,10226600,No,07-05-1981,327251,30680,Normal Sale
Anna Nagar,31-12-2011,1976,2,1,5,12300050,No,10-01-1972,369002,110700,Partial
Karapakkam,08-01-2011,1402,2,2,4,6966500,No,15-01-1981,257761,111464,Normal Sale
T Nagar,17-02-2012,1887,2,1,5,20499450,No,22-02-1992,573985,348491,Adj Land
Chrompet,10-10-2013,1276,2,1,4,9604120,No,19-10-1977,316936,163270,Normal Sale
Adyar,04-08-2010,1249,2,2,4,12642285,No,09-08-1991,417195,176992,Adj Land
Chrompet,16-08-2007,1286,2,1,4,9153300,No,24-08-1973,292906,118993,Ab Normal
KK Nagar,02-10-2011,2467,4,2,6,12650920,No,06-10-1995,581942,139160,Adj Land
Karapakkam,18-06-2010,653,1,1,2,7635250,No,22-06-1995,297775,160340,Adj Land
Chrompet,30-06-2014,1057,1,1,3,9144840,No,04-07-1997,228621,27435,Normal Sale
Adyar,31-01-2007,723,1,1,2,10969920,No,07-02-1979,329098,142609,Family
T Nagar,15-01-2010,1812,2,1,5,12248640,No,26-01-1966,440951,232724,Family
Velachery,03-11-2004,1615,2,1,4,8019280,No,08-11-1985,288694,128308,Ab Normal
Anna Nagar,10-03-2014,1755,1,1,4,11410310,No,21-03-1971,308078,182565,Adj Land
Adyar,21-04-2008,1296,2,2,4,9950600,No,26-04-1988,338320,49753,Family
Velachery,29-08-2009,1556,2,1,4,9348100,No,03-09-1989,289791,130873,Partial
Adyar,29-09-2011,1170,1,1,3,9134740,No,08-10-1975,337985,18269,Adj Land
Adyar,12-10-2006,901,1,1,3,7643255,No,21-10-1969,267514,84076,Partial
Karapakkam,26-10-2011,1476,2,2,4,11536000,No,03-11-1979,576800,126896,Ab Normal
Adyar,23-12-2007,847,1,1,3,7492300,No,02-01-1968,284707,14985,Partial
Karapakkam,26-10-2011,1192,1,1,3,5342250,No,31-10-1988,235059,101503,Family
T Nagar,17-10-2007,2000,2,1,5,13596890,No,23-10-1980,435100,95178,Adj Land
Velachery,16-04-2006,1987,3,2,5,11156320,No,19-04-1995,423940,167345,Family
Karapakkam,04-11-2009,1567,2,2,4,7725875,No,08-11-1992,247228,193147,Family
Karapakkam,09-01-2011,1188,1,1,3,9819500,No,17-01-1977,373141,186571,Partial
Adyar,24-11-2010,737,1,1,2,3869180,No,02-12-1978,123814,54169,Family
KK Nagar,22-06-2011,2078,3,2,5,9696820,No,27-06-1990,475144,106665,Ab Normal
Karapakkam,16-10-2009,1145,1,1,3,5510250,No,20-10-1992,264492,82654,Normal Sale
Karapakkam,04-11-2011,971,1,1,3,6530500,No,11-11-1983,287342,156732,Normal Sale
Adyar,04-09-2011,1273,2,2,4,7451690,No,05-09-2005,231002,96872,Ab Normal
KK Nagar,04-10-2008,1929,3,2,5,10173980,No,12-10-1978,447655,81392,Normal Sale
T Nagar,10-02-2011,1749,1,1,4,11713410,No,18-02-1979,374829,152274,Ab Normal
Anna Nagar,25-11-2012,1585,1,1,4,17382790,No,30-11-1995,469335,104297,Family
KK Nagar,11-06-2009,1425,2,1,4,8677280,No,15-06-1995,303705,69418,Normal Sale
Chrompet,22-06-2014,1052,1,1,3,7926740,No,24-06-2004,261582,103048,Normal Sale
T Nagar,12-12-2014,1756,1,1,4,12093570,No,20-12-1983,483743,133029,Partial
Chrompet,27-11-2010,1263,2,1,4,10637010,No,02-12-1988,276562,127644,Adj Land
KK Nagar,31-01-2009,1401,2,1,4,7410200,No,05-02-1989,370510,148204,Partial
Chrompet,25-01-2015,723,1,1,2,8645860,No,29-01-1998,242084,77813,Family
T Nagar,15-09-2008,1660,1,1,4,17787740,No,25-09-1971,551420,249028,Normal Sale
Chrompet,24-10-2010,1199,1,1,3,9160580,No,30-10-1985,229015,27482,Adj Land
Velachery,14-08-2007,1572,2,1,4,8165450,No,19-08-1987,285791,65324,Adj Land
Anna Nagar,03-08-2007,1535,1,1,4,11484740,No,11-08-1975,298603,206725,Family
KK Nagar,16-10-2009,2189,3,2,5,12071880,No,20-10-1994,470803,253509,Adj Land
Chrompet,25-12-2014,1203,2,1,4,12925550,No,29-12-1997,426543,219734,Partial
Karapakkam,23-05-2011,985,1,1,3,7446875,No,28-05-1991,238300,59575,Partial
Karapakkam,18-03-2012,1623,2,2,4,11658500,No,28-03-1974,489657,291463,Ab Normal
Adyar,05-07-2010,1019,1,1,3,6663435,No,12-07-1981,213230,26654,Partial
Chrompet,09-07-2007,802,1,1,3,7968490,No,11-07-1998,262960,47811,Ab Normal
T Nagar,24-06-2007,1846,2,1,5,12403760,No,02-07-1973,446535,173653,Normal Sale
Chrompet,13-01-2011,759,1,1,2,8149280,No,17-01-1996,252628,57045,Adj Land
KK Nagar,24-11-2011,2060,3,2,5,16012600,No,01-12-1981,704554,352277,Ab Normal
T Nagar,01-05-2013,1887,2,1,5,13024030,No,11-05-1974,325601,234433,Partial
Karapakkam,13-09-2011,1502,2,2,4,8215250,No,14-09-2004,361471,147875,Normal Sale
Velachery,14-01-2009,1568,2,1,4,6361850,No,22-01-1979,235388,114513,Family
Chrompet,23-03-2007,918,1,1,3,10929300,No,28-03-1985,327879,32788,Partial
Adyar,19-01-2009,1289,2,2,4,14634500,No,29-01-1969,512208,87807,Normal Sale
KK Nagar,21-08-2010,1941,3,2,5,12228420,No,26-08-1990,550279,220112,Adj Land
Velachery,01-01-2010,1702,2,1,4,12225650,No,12-01-1965,476800,207836,Ab Normal
Velachery,31-12-2004,1726,2,1,4,6804640,No,06-01-1983,217748,122484,Partial
Karapakkam,20-07-2009,1332,1,1,3,8261500,No,31-07-1965,346983,140446,Normal Sale
Adyar,01-09-2007,658,1,1,2,6083885,No,10-09-1968,237272,36503,Adj Land
Chrompet,27-10-2007,1008,1,1,3,8836160,No,04-11-1975,247412,106034,Adj Land
Anna Nagar,24-01-2010,1924,2,1,5,13620040,No,01-02-1979,463081,95340,Family
KK Nagar,10-03-2009,2112,3,2,5,16756460,No,13-03-1996,804310,351886,Adj Land
Chrompet,20-10-2012,894,1,1,3,10882400,No,27-10-1984,337354,97942,Ab Normal
Adyar,03-10-2010,1279,2,2,4,9792910,No,11-10-1976,362338,137101,Adj Land
Velachery,12-02-2012,1547,2,1,4,10090590,No,23-02-1965,343080,201812,Ab Normal
Karapakkam,18-03-2010,626,1,1,2,5072750,No,24-03-1985,248565,45655,Family
T Nagar,25-09-2014,1673,1,1,4,12156320,No,06-10-1970,389002,194501,Partial
KK Nagar,25-10-2008,2194,3,2,5,16805520,No,27-10-2002,722637,201666,Partial
KK Nagar,08-07-2011,1678,2,1,4,13586120,No,12-07-1995,475514,271722,Partial
Chrompet,07-12-2014,1257,2,1,4,13788450,No,16-12-1979,413654,110308,Normal Sale
Karapakkam,12-09-2011,606,1,1,2,6564750,No,15-09-1998,262590,85342,Ab Normal
Karapakkam,20-11-2009,1154,1,1,3,7880000,No,23-11-1997,236400,70920,Family
Adyar,20-01-2011,927,1,1,3,12682895,No,28-01-1978,469267,63414,Family
Velachery,17-01-2007,1511,2,1,4,10391900,No,28-01-1962,405284,166270,Family
KK Nagar,23-01-2012,1765,2,1,4,9338880,No,30-01-1983,345539,177439,Ab Normal
Karapakkam,15-06-2011,1299,1,1,3,9338500,No,26-06-1965,336186,177432,Adj Land
Karapakkam,07-01-2010,849,1,1,2,5668875,No,16-01-1974,204080,90702,Normal Sale
Chrompet,04-01-2007,908,1,1,3,7546960,No,13-01-1971,188674,37735,Normal Sale
KK Nagar,09-09-2008,1990,3,2,5,10652120,No,11-09-2002,351520,117173,Adj Land
Anna Nagar,23-01-2013,1857,2,1,5,13378610,No,01-02-1978,454873,66893,Normal Sale
KK Nagar,23-06-2008,1668,2,1,4,10044620,No,26-06-1997,492186,231026,Ab Normal
KK Nagar,04-04-2010,1444,2,1,4,9153720,No,10-04-1984,347841,173921,Normal Sale
Velachery,25-11-2006,1618,2,1,4,11462310,No,07-12-1958,458492,91698,Normal Sale
Karapakkam,09-01-2012,1159,1,1,3,6149625,No,21-01-1962,295182,67646,Adj Land
Chrompet,10-06-2010,1008,1,1,3,12713050,No,15-06-1991,317826,152557,Partial
Velachery,03-10-2006,1543,2,1,4,12900790,No,15-10-1959,425726,206413,Normal Sale
Chrompet,03-01-2007,1231,2,1,4,10271420,No,10-01-1978,287600,143800,Adj Land
T Nagar,18-05-2013,1995,2,1,5,14154840,No,26-05-1981,396336,113239,Family
KK Nagar,23-10-2010,2113,3,2,5,12160420,No,30-10-1982,535058,304011,Adj Land
Karapakkam,06-03-2011,1057,1,1,3,8788500,No,17-03-1965,307598,175770,Adj Land
Anna Nagar,25-11-2012,1666,1,1,4,11991280,No,01-12-1988,383721,71948,Partial
Anna Nagar,25-01-2008,1854,2,1,5,19766360,No,04-02-1965,553458,237196,Family
Adyar,04-01-2009,789,1,1,2,8098070,No,14-01-1971,315825,113373,Ab Normal
Chrompet,22-04-2008,1137,1,1,3,8912540,No,25-04-1997,276289,53475,Family
Karapakkam,27-02-2010,1662,2,2,4,12825500,No,02-03-1996,628450,128255,Ab Normal
Adyar,18-06-2009,1065,1,1,3,8717385,No,23-06-1990,339978,69739,Adj Land
KK Nagar,17-05-2009,1621,2,1,4,9928200,No,24-05-1980,446769,129067,Family
Chrompet,08-11-2014,1221,2,1,4,9833270,No,16-11-1980,324498,167166,Ab Normal
KK Nagar,26-10-2011,1577,2,1,4,13277420,No,28-10-2000,517819,172606,Family
Anna Nagar,12-02-2015,1525,1,1,4,17566590,No,20-02-1983,526998,245932,Normal Sale
Karapakkam,12-07-2010,1122,1,1,3,6889250,No,16-07-1992,248013,82671,Ab Normal
Anna Nagar,14-11-2009,1877,2,1,5,13064510,No,22-11-1979,418064,156774,Family
Chrompet,25-04-2007,760,1,1,2,8386750,No,29-04-1990,209669,50321,Ab Normal
KK Nagar,16-01-2009,2297,4,2,6,11569680,No,21-01-1992,370230,231394,Family
KK Nagar,24-03-2011,2317,4,2,6,10502160,No,31-03-1983,462095,262554,Ab Normal
Velachery,01-04-2009,1616,2,1,4,9794230,No,05-04-1995,313415,195885,Family
Chrompet,17-09-2008,1238,2,1,4,9345900,No,26-09-1974,299069,65421,Normal Sale
T Nagar,13-02-2011,1664,1,1,4,13251910,No,23-02-1969,516824,119267,Normal Sale
Anna Nagar,23-11-2013,1537,1,1,4,18331880,No,28-11-1994,476629,293310,Normal Sale
Velachery,06-09-2005,1731,2,1,4,13478680,No,17-09-1961,539147,242616,Partial
Chrompet,29-06-2008,786,1,1,2,8185800,No,04-07-1988,212831,122787,Normal Sale
Karapakkam,02-07-2010,1685,2,2,4,6922750,No,12-07-1971,290756,166146,Ab Normal
T Nagar,06-11-2008,1549,1,1,4,12133650,No,14-11-1978,461079,97069,Adj Land
Anna Nagar,09-10-2007,1898,2,1,5,13485130,No,19-10-1965,337128,94396,Ab Normal
Chrompet,08-09-2008,1072,1,1,3,11935950,No,18-09-1971,370014,47744,Partial
KK Nagar,24-10-2011,1362,2,1,4,12146740,No,30-10-1984,376549,230788,Adj Land
Adyar,03-01-2010,952,1,1,3,10552045,No,09-01-1987,422082,158281,Partial
Chrompet,17-02-2015,1066,1,1,3,12406100,No,24-02-1985,409401,62031,Ab Normal
Adyar,05-03-2011,1300,2,2,4,10989305,No,11-03-1984,439572,65936,Ab Normal
T Nagar,10-09-2011,1806,2,1,5,11838240,No,18-09-1979,426177,153897,Normal Sale
Anna Nagar,25-05-2007,1897,2,1,5,12624040,No,28-05-1995,492338,164113,Family
Chrompet,15-03-2007,1121,1,1,3,8288050,No,20-03-1984,215489,132609,Partial
Adyar,17-10-2006,985,1,1,3,11903865,No,25-10-1975,392828,71423,Partial
Anna Nagar,02-08-2011,1582,1,1,4,17398770,No,08-08-1985,434969,121791,Adj Land
Velachery,02-07-2011,1532,2,1,4,11452010,No,15-07-1958,423724,229040,Family
Adyar,26-09-2008,812,1,1,3,6285850,No,04-10-1978,251434,50287,Ab Normal
Chrompet,31-05-2010,863,1,1,3,7813750,No,09-06-1973,242226,125020,Family
Karapakkam,22-01-2012,1332,1,1,3,11235750,No,31-01-1975,449430,235951,Normal Sale
Adyar,11-01-2010,1300,2,2,4,9023925,No,20-01-1975,333885,135359,Normal Sale
Chrompet,04-03-2011,809,1,1,3,6511200,No,13-03-1975,201847,110690,Ab Normal
Karapakkam,06-09-2009,542,1,1,2,3013500,No,15-09-1974,126567,48216,Normal Sale
Karapakkam,12-02-2010,1608,2,2,4,9243750,No,17-02-1989,388238,138656,Ab Normal
KK Nagar,11-12-2011,2271,4,2,6,17422860,No,14-12-1998,644646,296189,Ab Normal
KK Nagar,15-12-2010,1915,3,2,5,9917200,No,17-12-2000,327268,198344,Partial
KK Nagar,26-01-2010,2152,3,2,5,16834800,No,03-02-1980,707062,168348,Partial
Adyar,21-07-2007,1068,1,1,3,7586885,No,30-07-1968,288302,7587,Adj Land
Velachery,24-11-2009,1810,3,2,5,8907630,No,08-12-1955,347398,142522,Normal Sale
Anna Nagar,09-01-2010,1905,2,1,5,20591900,No,15-01-1985,555981,123551,Ab Normal
T Nagar,30-05-2013,1577,1,1,4,11992650,No,02-06-2003,383765,179890,Ab Normal
Chrompet,07-07-2014,1248,2,1,4,9747000,No,12-07-1994,311904,97470,Family
Velachery,02-11-2007,1555,2,1,4,8762530,No,13-11-1963,306689,113913,Partial
KK Nagar,23-03-2012,2323,4,2,6,17529340,No,30-03-1985,858938,315528,Adj Land
Chrompet,21-08-2014,849,1,1,3,8823380,No,24-08-2003,264701,79410,Ab Normal
Chrompet,07-08-2013,1147,1,1,3,10152390,No,17-08-1973,335029,131981,Ab Normal
Karapakkam,27-08-2010,973,1,1,3,6878875,No,28-08-2004,295792,151335,Partial
Anna Nagar,09-01-2009,1689,1,1,4,13454780,No,16-01-1981,349824,148003,Normal Sale
Adyar,24-08-2011,1268,2,2,4,10769525,No,27-08-1996,344625,150773,Normal Sale
T Nagar,09-08-2007,1640,1,1,4,10342830,No,11-08-1998,413713,82743,Partial
KK Nagar,11-07-2008,2404,4,2,6,11040620,No,17-07-1987,331219,220812,Normal Sale
Chrompet,27-11-2009,797,1,1,2,7160890,No,01-12-1993,186183,78770,Normal Sale
Karapakkam,21-03-2012,1256,1,1,3,5643000,No,26-03-1992,259578,67716,Partial
Karapakkam,28-08-2009,520,1,1,2,4849000,No,05-09-1977,193960,82433,Partial
Chrompet,14-08-2012,764,1,1,2,8476180,No,22-08-1982,237333,135619,Ab Normal
Velachery,25-11-2009,1674,2,1,4,13098030,No,01-12-1985,484627,248863,Adj Land
Anna Nagar,07-03-2009,1976,2,1,5,21473270,No,15-03-1978,751564,322099,Adj Land
Anna Nagar,17-02-2008,1505,1,1,4,9630420,No,22-02-1987,240761,144456,Normal Sale
Karapakkam,26-11-2009,888,1,1,2,6428250,No,01-12-1990,244274,96424,Normal Sale
Chrompet,10-09-2009,1261,2,1,4,9718570,No,13-09-1997,320713,77749,Partial
Chrompet,24-01-2008,1164,1,1,3,13271000,No,03-02-1968,331775,66355,Family
Chrompet,17-09-2010,708,1,1,2,7745900,No,20-09-1996,240123,131680,Partial
Velachery,11-07-2010,1855,3,2,5,7603630,No,24-07-1956,250920,121658,Partial
Karapakkam,04-03-2011,563,1,1,2,7116000,No,16-03-1963,256176,149436,Family
Chrompet,14-11-2008,931,1,1,3,7520800,No,23-11-1972,233145,127854,Ab Normal
KK Nagar,13-04-2009,1629,2,1,4,14192960,No,20-04-1981,510947,127737,Family
Chrompet,02-01-2010,856,1,1,3,8191250,No,10-01-1979,253929,122869,Adj Land
Anna Nagar,15-08-2011,1510,1,1,4,10975430,No,24-08-1972,406091,175607,Normal Sale
Chrompet,11-09-2012,1144,1,1,3,7464800,No,14-09-2000,216479,52254,Family
Chrompet,27-07-2011,790,1,1,2,6846100,No,04-08-1977,191691,102692,Family
Adyar,17-01-2012,843,1,1,3,8335390,No,23-01-1986,291739,25006,Normal Sale
